id,domaine,sous_type,niveau_1_5,temps_conseille_sec,mode_reponse,consigne_examinateur,stimulus,choix_A,choix_B,choix_C,choix_D,reponse_attendue,explication_correction,bareme,construct_cible,tags,source_cadre,avertissement
CV-012,Compréhension verbale,Vocabulaire conceptuel,2,35,QCM,Choisissez la définition la plus précise du mot présenté.,Inférer,Copier mot pour mot.,Effacer volontairement une information.,Déduire une information à partir d'indices ou de prémisses.,Mesurer une longueur.,C,Inférer consiste à tirer une conclusion non explicitement donnée.,"1 point si réponse exacte, 0 sinon.",Lexique et précision sémantique,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-013,Compréhension verbale,Vocabulaire conceptuel,3,35,QCM,Choisissez la définition la plus précise du mot présenté.,Équivoque,D'une précision mathématique unique.,Sans aucun sens possible.,Qui se produit à intervalle régulier.,Qui peut recevoir plusieurs interprétations.,D,Une formulation équivoque est ambiguë ou susceptible de plusieurs lectures.,"1 point si réponse exacte, 0 sinon.",Lexique et précision sémantique,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-014,Compréhension verbale,Vocabulaire conceptuel,3,35,QCM,Choisissez la définition la plus précise du mot présenté.,Corroborer,Contredire par principe.,Renforcer ou confirmer par des éléments concordants.,Décorer un texte.,Réduire une fraction.,B,"Corroborer une hypothèse, c'est l'appuyer par des preuves ou observations convergentes.","1 point si réponse exacte, 0 sinon.",Lexique et précision sémantique,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-015,Compréhension verbale,Vocabulaire conceptuel,3,35,QCM,Choisissez la définition la plus précise du mot présenté.,Lacunaire,"Incomplet, présentant des manques.",Excessivement rapide.,Écrit dans une langue ancienne.,Organisé en cercles concentriques.,A,Une information lacunaire laisse des trous ou des absences significatives.,"1 point si réponse exacte, 0 sinon.",Lexique et précision sémantique,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-016,Compréhension verbale,Vocabulaire conceptuel,3,35,QCM,Choisissez la définition la plus précise du mot présenté.,Paradoxe,Une règle administrative.,Une unité de masse.,Une contradiction apparente qui peut révéler une difficulté conceptuelle.,Une couleur secondaire.,C,Le paradoxe choque l'intuition par une contradiction apparente ou réelle.,"1 point si réponse exacte, 0 sinon.",Lexique et précision sémantique,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-017,Compréhension verbale,Vocabulaire conceptuel,4,35,QCM,Choisissez la définition la plus précise du mot présenté.,Extrapoler,Répéter exactement des données observées.,Étendre une tendance ou un raisonnement au-delà des données disponibles.,Classer des mots par ordre alphabétique.,Remplacer une cause par son effet.,B,"Extrapoler va au-delà du domaine directement observé, avec un risque d'erreur si les conditions changent.","1 point si réponse exacte, 0 sinon.",Lexique et précision sémantique,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-018,Compréhension verbale,Vocabulaire conceptuel,2,35,QCM,Choisissez la définition la plus précise du mot présenté.,Nuance,Une erreur grossière.,Une preuve irréfutable.,Une vitesse constante.,"Une différence fine dans le sens, l'intensité ou la qualité.",D,"La nuance désigne un écart subtil, souvent important dans l'interprétation.","1 point si réponse exacte, 0 sinon.",Lexique et précision sémantique,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-019,Compréhension verbale,Vocabulaire conceptuel,3,35,QCM,Choisissez la définition la plus précise du mot présenté.,Réciproque,Qui implique une relation dans les deux sens ou un échange mutuel.,Qui ne peut jamais être inversé.,Qui concerne uniquement les nombres pairs.,Qui s'annule dès qu'on l'observe.,A,"Une relation réciproque va de A vers B et de B vers A, ou implique une correspondance mutuelle.","1 point si réponse exacte, 0 sinon.",Lexique et précision sémantique,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-020,Compréhension verbale,Vocabulaire conceptuel,4,35,QCM,Choisissez la définition la plus précise du mot présenté.,Contingent,Nécessaire dans tous les mondes possibles.,Identique à lui-même par définition.,"Dépendant des circonstances, non nécessaire.",Toujours interdit par une règle.,C,Ce qui est contingent aurait pu être autrement selon les conditions.,"1 point si réponse exacte, 0 sinon.",Lexique et précision sémantique,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-021,Compréhension verbale,Information générale stable,2,40,QCM,Répondez à la question de connaissance générale stable. Choisissez la meilleure réponse.,Quel principe explique qu'un objet immergé dans un fluide subit une poussée verticale vers le haut ?,La loi d'Ohm,Le principe d'Archimède,La sélection naturelle,Le théorème de Pythagore,B,Le principe d'Archimède décrit la poussée exercée par un fluide sur un corps immergé.,"1 point si réponse exacte, 0 sinon.",Connaissances cristallisées,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-022,Compréhension verbale,Information générale stable,2,40,QCM,Répondez à la question de connaissance générale stable. Choisissez la meilleure réponse.,Qu'est-ce qu'un nombre premier ?,Un entier supérieur à 1 divisible seulement par 1 et par lui-même.,Un nombre qui se termine par 1.,Un nombre toujours pair.,Un nombre décimal compris entre 0 et 1.,A,"2, 3, 5, 7 sont des exemples de nombres premiers; 1 n'est pas premier.","1 point si réponse exacte, 0 sinon.",Connaissances cristallisées,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-023,Compréhension verbale,Information générale stable,2,40,QCM,Répondez à la question de connaissance générale stable. Choisissez la meilleure réponse.,Que mesure principalement le pH ?,La masse d'un objet,La vitesse de la lumière,Le caractère acide ou basique d'une solution,La quantité de mémoire d'un ordinateur,C,Le pH situe une solution sur une échelle d'acidité/basicité.,"1 point si réponse exacte, 0 sinon.",Connaissances cristallisées,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-024,Compréhension verbale,Information générale stable,1,40,QCM,Répondez à la question de connaissance générale stable. Choisissez la meilleure réponse.,"Dans une démocratie représentative, à quoi servent principalement les élections ?",À supprimer toute opposition,À désigner des représentants selon une procédure collective,À remplacer la loi par l'opinion privée,À garantir qu'une seule personne décide sans contrôle,B,Les élections permettent de déléguer une part du pouvoir politique à des représentants selon des règles collectives.,"1 point si réponse exacte, 0 sinon.",Connaissances cristallisées,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-025,Compréhension verbale,Information générale stable,3,40,QCM,Répondez à la question de connaissance générale stable. Choisissez la meilleure réponse.,Pourquoi utilise-t-on un groupe témoin dans une expérience ?,Pour rendre les résultats plus impressionnants,Pour comparer et isoler l'effet de la variable étudiée,Pour supprimer toutes les mesures,Pour éviter toute hypothèse,B,Le groupe témoin sert de point de comparaison pour attribuer plus prudemment un effet à la variable testée.,"1 point si réponse exacte, 0 sinon.",Connaissances cristallisées,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-026,Compréhension verbale,Information générale stable,4,40,QCM,Répondez à la question de connaissance générale stable. Choisissez la meilleure réponse.,Quelle est la différence essentielle entre corrélation et causalité ?,Il n'y en a aucune,La corrélation prouve toujours la cause,La corrélation indique une association; la causalité indique qu'un facteur produit un effet,La causalité ne concerne que les nombres pairs,C,Deux variables peuvent varier ensemble sans que l'une cause l'autre.,"1 point si réponse exacte, 0 sinon.",Connaissances cristallisées,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-027,Compréhension verbale,Information générale stable,3,40,QCM,Répondez à la question de connaissance générale stable. Choisissez la meilleure réponse.,Qu'est-ce qu'une métaphore ?,Une comparaison implicite qui transporte un sens d'un domaine à un autre,Une mesure exacte d'un angle,Une liste de dates,Un raisonnement qui exclut toute image,A,La métaphore rapproche deux domaines sans outil comparatif explicite comme 'comme'.,"1 point si réponse exacte, 0 sinon.",Connaissances cristallisées,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-028,Compréhension verbale,Information générale stable,2,40,QCM,Répondez à la question de connaissance générale stable. Choisissez la meilleure réponse.,"En économie, que désigne l'inflation ?",La baisse durable de toutes les températures,La hausse générale et durable du niveau des prix,Le nombre de naissances,Une figure de style,B,L'inflation renvoie à une augmentation globale et persistante du niveau des prix.,"1 point si réponse exacte, 0 sinon.",Connaissances cristallisées,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-029,Compréhension verbale,Information générale stable,3,40,QCM,Répondez à la question de connaissance générale stable. Choisissez la meilleure réponse.,Qu'est-ce qu'un biais d'échantillonnage ?,Une erreur de calcul dans une addition,Un choix d'échantillon qui représente parfaitement toute population,Une règle de grammaire,Une distorsion liée à un échantillon non représentatif de la population visée,D,Un échantillon biaisé peut produire des conclusions trompeuses.,"1 point si réponse exacte, 0 sinon.",Connaissances cristallisées,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-030,Compréhension verbale,Information générale stable,2,40,QCM,Répondez à la question de connaissance générale stable. Choisissez la meilleure réponse.,Quelle unité mesure la fréquence d'un phénomène périodique ?,Le mètre,Le kilogramme,Le hertz,Le litre,C,Le hertz correspond au nombre de cycles par seconde.,"1 point si réponse exacte, 0 sinon.",Connaissances cristallisées,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-031,Compréhension verbale,Compréhension et jugement,3,45,QCM,"Choisissez la réponse qui préserve le mieux la rigueur, l'éthique et la qualité de la situation.",Pourquoi demander un consentement éclairé avant une recherche impliquant des personnes ?,Pour augmenter artificiellement les scores,Pour éviter d'expliquer les risques,"Pour s'assurer que la personne comprend les objectifs, les risques et accepte librement",Pour empêcher toute question,C,"Le consentement éclairé suppose compréhension, liberté et information suffisante.","1 point si réponse exacte, 0 sinon.",Jugement verbal et compréhension sociale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
CV-032,Compréhension verbale,Compréhension et jugement,3,45,QCM,"Choisissez la réponse qui préserve le mieux la rigueur, l'éthique et la qualité de la situation.",Pourquoi ne faut-il pas conclure fermement à partir d'une seule observation isolée ?,"Parce qu'une observation unique peut être accidentelle, biaisée ou non représentative",Parce que toute observation est inutile,Parce qu'une seule donnée prouve toujours le contraire,Parce que la répétition empêche de réfléchir,A,La fiabilité augmente avec la convergence de plusieurs observations contrôlées.,"1 point si réponse exacte, 0 sinon.",Jugement verbal et compréhension sociale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
